mp3文件名,性别,评分维度,评委1评分,评委2评分,评委3评分,,
71ff71526d15db86eb50fcac245d215b.mp3,女,情绪情感,0,2,2,,
71ff71526d15db86eb50fcac245d220b.mp3,男,音准,0,2,2,,
71ff71526d15db86eb50fcac245d220b.mp3,男,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d220b.mp3,男,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d220b.mp3,男,咬字吐字,2,2,2,,
71ff71526d15db86eb50fcac245d220b.mp3,男,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d225b.mp3,女,音准,2,2,2,,
71ff71526d15db86eb50fcac245d225b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d225b.mp3,女,流畅性,2,3,2,,
71ff71526d15db86eb50fcac245d225b.mp3,女,咬字吐字,2,3,2,,
71ff71526d15db86eb50fcac245d225b.mp3,女,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d231b.mp3,男,音准,1,2,2,,
71ff71526d15db86eb50fcac245d231b.mp3,男,节拍节奏,1,3,3,,
71ff71526d15db86eb50fcac245d231b.mp3,男,流畅性,1,3,3,,
71ff71526d15db86eb50fcac245d231b.mp3,男,咬字吐字,1,3,3,,
71ff71526d15db86eb50fcac245d231b.mp3,男,情绪情感,0,2,3,,
71ff71526d15db86eb50fcac245d236b.mp3,男,音准,1,2,2,,
71ff71526d15db86eb50fcac245d236b.mp3,男,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d236b.mp3,男,流畅性,2,2,3,,
71ff71526d15db86eb50fcac245d236b.mp3,男,咬字吐字,2,1,2,,
71ff71526d15db86eb50fcac245d236b.mp3,男,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d241b.mp3,女,音准,2,3,2,,
71ff71526d15db86eb50fcac245d241b.mp3,女,节拍节奏,2,3,2,,
71ff71526d15db86eb50fcac245d241b.mp3,女,流畅性,2,3,2,,
71ff71526d15db86eb50fcac245d241b.mp3,女,咬字吐字,2,3,3,,
71ff71526d15db86eb50fcac245d241b.mp3,女,情绪情感,1,2,3,,
71ff71526d15db86eb50fcac245d246b.mp3,女,音准,0,2,2,,
71ff71526d15db86eb50fcac245d246b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d246b.mp3,女,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d246b.mp3,女,咬字吐字,2,3,2,,
71ff71526d15db86eb50fcac245d246b.mp3,女,情绪情感,0,2,2,,
71ff71526d15db86eb50fcac245d251b.mp3,男,音准,0,2,2,,
71ff71526d15db86eb50fcac245d251b.mp3,男,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d251b.mp3,男,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d251b.mp3,男,咬字吐字,2,2,2,,
71ff71526d15db86eb50fcac245d251b.mp3,男,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d256b.mp3,女,音准,2,2,2,,
71ff71526d15db86eb50fcac245d256b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d256b.mp3,女,流畅性,2,3,2,,
71ff71526d15db86eb50fcac245d256b.mp3,女,咬字吐字,2,3,2,,
71ff71526d15db86eb50fcac245d256b.mp3,女,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d261b.mp3,男,音准,1,2,2,,
71ff71526d15db86eb50fcac245d261b.mp3,男,节拍节奏,1,3,3,,
71ff71526d15db86eb50fcac245d261b.mp3,男,流畅性,1,3,3,,
71ff71526d15db86eb50fcac245d261b.mp3,男,咬字吐字,1,3,3,,
71ff71526d15db86eb50fcac245d261b.mp3,男,情绪情感,0,2,3,,
71ff71526d15db86eb50fcac245d266b.mp3,男,音准,1,2,2,,
71ff71526d15db86eb50fcac245d266b.mp3,男,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d266b.mp3,男,流畅性,2,2,3,,
71ff71526d15db86eb50fcac245d266b.mp3,男,咬字吐字,2,1,2,,
71ff71526d15db86eb50fcac245d266b.mp3,男,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d271b.mp3,女,音准,2,3,2,,
71ff71526d15db86eb50fcac245d271b.mp3,女,节拍节奏,2,3,2,,
71ff71526d15db86eb50fcac245d271b.mp3,女,流畅性,2,3,2,,
71ff71526d15db86eb50fcac245d271b.mp3,女,咬字吐字,2,3,3,,
71ff71526d15db86eb50fcac245d271b.mp3,女,情绪情感,1,2,3,,
71ff71526d15db86eb50fcac245d276b.mp3,女,音准,0,2,2,,
71ff71526d15db86eb50fcac245d276b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d276b.mp3,女,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d276b.mp3,女,咬字吐字,2,3,2,,
71ff71526d15db86eb50fcac245d276b.mp3,女,情绪情感,0,2,2,,
71ff71526d15db86eb50fcac245d281b.mp3,男,音准,0,2,2,,
71ff71526d15db86eb50fcac245d281b.mp3,男,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d281b.mp3,男,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d281b.mp3,男,咬字吐字,2,2,2,,
71ff71526d15db86eb50fcac245d281b.mp3,男,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d286b.mp3,女,音准,2,2,2,,
71ff71526d15db86eb50fcac245d286b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d286b.mp3,女,流畅性,2,3,2,,
71ff71526d15db86eb50fcac245d286b.mp3,女,咬字吐字,2,3,2,,
71ff71526d15db86eb50fcac245d286b.mp3,女,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d291b.mp3,男,音准,1,2,2,,
71ff71526d15db86eb50fcac245d291b.mp3,男,节拍节奏,1,3,3,,
71ff71526d15db86eb50fcac245d291b.mp3,男,流畅性,1,3,3,,
71ff71526d15db86eb50fcac245d291b.mp3,男,咬字吐字,1,3,3,,
71ff71526d15db86eb50fcac245d291b.mp3,男,情绪情感,0,2,3,,
71ff71526d15db86eb50fcac245d296b.mp3,男,音准,1,2,2,,
71ff71526d15db86eb50fcac245d296b.mp3,男,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d296b.mp3,男,流畅性,2,2,3,,
71ff71526d15db86eb50fcac245d296b.mp3,男,咬字吐字,2,1,2,,
71ff71526d15db86eb50fcac245d296b.mp3,男,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d301b.mp3,女,音准,2,3,2,,
71ff71526d15db86eb50fcac245d301b.mp3,女,节拍节奏,2,3,2,,
71ff71526d15db86eb50fcac245d301b.mp3,女,流畅性,2,3,2,,
71ff71526d15db86eb50fcac245d301b.mp3,女,咬字吐字,2,3,3,,
71ff71526d15db86eb50fcac245d301b.mp3,女,情绪情感,1,2,3,,
71ff71526d15db86eb50fcac245d306b.mp3,女,音准,0,2,2,,
71ff71526d15db86eb50fcac245d306b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d306b.mp3,女,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d306b.mp3,女,咬字吐字,2,3,2,,
71ff71526d15db86eb50fcac245d306b.mp3,女,情绪情感,0,2,2,,
71ff71526d15db86eb50fcac245d311b.mp3,男,音准,0,2,2,,
71ff71526d15db86eb50fcac245d311b.mp3,男,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d311b.mp3,男,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d311b.mp3,男,咬字吐字,2,2,2,,
71ff71526d15db86eb50fcac245d311b.mp3,男,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d316b.mp3,女,音准,2,2,2,,
71ff71526d15db86eb50fcac245d316b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d316b.mp3,女,流畅性,2,3,2,,
71ff71526d15db86eb50fcac245d316b.mp3,女,咬字吐字,2,3,2,,
71ff71526d15db86eb50fcac245d316b.mp3,女,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d321b.mp3,女,音准,1,2,2,,
71ff71526d15db86eb50fcac245d322b.mp3,女,音准,1,3,3,,
71ff71526d15db86eb50fcac245d323b.mp3,女,音准,1,3,3,,
71ff71526d15db86eb50fcac245d324b.mp3,女,音准,1,3,3,,
71ff71526d15db86eb50fcac245d325b.mp3,女,音准,0,2,3,,
71ff71526d15db86eb50fcac245d326b.mp3,女,音准,1,2,2,,
71ff71526d15db86eb50fcac245d321b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d322b.mp3,女,节拍节奏,2,2,3,,
71ff71526d15db86eb50fcac245d323b.mp3,女,节拍节奏,2,1,2,,
71ff71526d15db86eb50fcac245d324b.mp3,女,节拍节奏,1,2,2,,
71ff71526d15db86eb50fcac245d325b.mp3,女,节拍节奏,1,2,2,,
71ff71526d15db86eb50fcac245d326b.mp3,女,节拍节奏,1,3,3,,
71ff71526d15db86eb50fcac245d321b.mp3,女,流畅性,1,3,3,,
71ff71526d15db86eb50fcac245d322b.mp3,女,流畅性,1,3,3,,
71ff71526d15db86eb50fcac245d323b.mp3,女,流畅性,0,2,3,,
71ff71526d15db86eb50fcac245d324b.mp3,女,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d325b.mp3,女,流畅性,2,2,2,,
71ff71526d15db86eb50fcac245d326b.mp3,女,流畅性,2,2,3,,
71ff71526d15db86eb50fcac245d321b.mp3,女,咬字吐字,2,1,2,,
71ff71526d15db86eb50fcac245d322b.mp3,女,咬字吐字,1,2,2,,
71ff71526d15db86eb50fcac245d323b.mp3,女,咬字吐字,1,2,2,,
71ff71526d15db86eb50fcac245d324b.mp3,女,咬字吐字,1,3,3,,
71ff71526d15db86eb50fcac245d325b.mp3,女,咬字吐字,1,3,3,,
71ff71526d15db86eb50fcac245d326b.mp3,女,咬字吐字,1,3,3,,
71ff71526d15db86eb50fcac245d321b.mp3,女,情绪情感,0,2,3,,
71ff71526d15db86eb50fcac245d322b.mp3,女,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d323b.mp3,女,情绪情感,2,2,2,,
71ff71526d15db86eb50fcac245d324b.mp3,女,情绪情感,2,2,3,,
71ff71526d15db86eb50fcac245d325b.mp3,女,情绪情感,2,1,2,,
71ff71526d15db86eb50fcac245d326b.mp3,女,情绪情感,1,2,2,,
